section,id,ja,en,chs,cht,opt,flags
tjs,TJSCannotGetSuper,スーパークラスが存在しないかスーパークラスを特定できません,Super class does not exist or cannot specify the super class,父类不存在或者不能定位到父类,父類別不存在或者無法定位到父類別,,
tjs,TJSInvalidOpecode,不正な VM コードです,Invalid VM code,VM 代码有误,VM 程式碼有誤,,
tjs,TJSRangeError,値が範囲外です,The value is out of the range,错误：取值范围以外,錯誤：取值範圍以外,,
tjs,TJSAccessDenyed,読み込み専用あるいは書き込み専用プロパティに対して行えない操作をしようとしました,Invalid operation for Read-only or Write-only property,对 只读/只写 属性进行了错误操作,對 唯讀/唯寫 屬性進行了錯誤操作,,
tjs,TJSNativeClassCrash,実行コンテキストが違います,Invalid object context,无效的 object context,無效的 object context,,
tjs,TJSInvalidObject,オブジェクトはすでに無効化されています,The object is already invalidated,对象已无效,物件已無效,,
tjs,TJSCannotOmit,"""..."" は関数外では使えません","""..."" is used out of functions","不能在方法之外使用 ""...""","不能在方法之外使用 ""...""",,
tjs,TJSCannotParseDate,不正な日付文字列の形式です,Invalid date format,不正确的日期格式,不正確的日期格式,,
tjs,TJSInvalidValueForTimestamp,不正な日付・時刻です,Invalid value for date/time,不正确的 日期/时间 值,不正確的 日期/時間 值,,
tjs,TJSExceptionNotFound,"""Exception"" が存在しないため例外オブジェクトを作成できません","Cannot convert exception because ""Exception"" does not exist","不能转换异常 因为 ""Exception"" 不存在","不能轉換例外 因為 ""Exception"" 不存在",,
tjs,TJSInvalidFormatString,不正な書式文字列です,Invalid format string,不正确的字符串格式,不正確的字串格式,,
tjs,TJSDivideByZero,0 で除算をしようとしました,Division by zero,被 0 整除了,被 0 整除了,,
tjs,TJSNotReconstructiveRandomizeData,乱数系列を初期化できません(おそらく不正なデータが渡されました),Cannot reconstruct random seeds,不能重新构造随机数列,不能重新建構隨機數列,,
tjs,TJSSymbol,識別子,ID,ID,ID,,
tjs,TJSCallHistoryIsFromOutOfTJS2Script,[TJSスクリプト管理外],[out of TJS2 script],[TJS2 脚本之外],[TJS2 腳本之外],,
tjs,TJSNObjectsWasNotFreed,合計 %1 個のオブジェクトが解放されていません,Total %1 Object(s) was not freed,共计 %1 个对象未释放,共計 %1 個物件未釋放,,
tjs,TJSObjectCreationHistoryDelimiter,\r\n                     , <-- ,\r\n                     ,\r\n                     ,CRLF,
tjs,TJSObjectCreationHistoryDelimiter,\n                     , <-- ,\n                     ,\n                     ,,
tjs,TJSObjectWasNotFreed,オブジェクト %1 [%2] が解放されていません。オブジェクト作成時の呼び出し履歴は以下の通りです:\r\n                     %3,Object %1 [%2] wes not freed / The object was created at : %2,对象 %1 [%2] 未释放。对象创建在：%2,物件 %1 [%2] 未釋放。物件建立於：%2,CRLF,
tjs,TJSObjectWasNotFreed,オブジェクト %1 [%2] が解放されていません。オブジェクト作成時の呼び出し履歴は以下の通りです:\n                     %3,Object %1 [%2] wes not freed / The object was created at : %2,对象 %1 [%2] 未释放。对象创建在：%2,物件 %1 [%2] 未釋放。物件建立於：%2,,
tjs,TJSGroupByObjectTypeAndHistory,オブジェクトのタイプとオブジェクト作成時の履歴による分類,Group by object type and location where the object was created,以对象类型和所在位置来分组,以物件類型和所在位置來分組,,
tjs,TJSGroupByObjectType,オブジェクトのタイプによる分類,Group by object type,以为对象类型来分组,以物件類型來分組,,
tjs,TJSObjectCountingMessageGroupByObjectTypeAndHistory,%1 個 : [%2]\r\n                     %3,%1 time(s) : [%2] %3,%1 个： [%2]\r\n                     %3,%1 個： [%2]\r\n                     %3,CRLF,
tjs,TJSObjectCountingMessageGroupByObjectTypeAndHistory,%1 個 : [%2]\n                     %3,%1 time(s) : [%2] %3,%1 个：[%2]\n                     %3,%1 個：[%2]\n                     %3,,
tjs,TJSObjectCountingMessageTJSGroupByObjectType,%1 個 : [%2],%1 time(s) : [%2],%1 个： [%2],%1 個： [%2],,
tjs,TJSWarnRunningCodeOnDeletingObject,%4: 削除中のオブジェクト %1[%2] 上でコードが実行されています。このオブジェクトの作成時の呼び出し履歴は以下の通りです:\r\n                     %3,%4: Running code on deleting-in-progress object %1[%2] / The object was created at : %3,%4：运行代码在正在删除的进城中，对象 %1[%2] / 对象创建在：%3,%4：程式碼執行於正在刪除的處理程序中，物件 %1[%2] / 物件建立於：%3,CRLF,
tjs,TJSWarnRunningCodeOnDeletingObject,%4: 削除中のオブジェクト %1[%2] 上でコードが実行されています。このオブジェクトの作成時の呼び出し履歴は以下の通りです:\n                     %3,%4: Running code on deleting-in-progress object %1[%2] / The object was created at : %3,%4：运行代码在正在删除的进城中，对象 %1[%2] / 对象创建在：%3,%4：程式碼執行於正在刪除的處理程序中，物件 %1[%2] / 物件建立於：%3,,
tjs,TJSWriteError,書き込みエラーが発生しました,Write error,写入错误,寫入錯誤,,
tjs,TJSReadError,読み込みエラーが発生しました。ファイルが破損している可能性や、デバイスからの読み込みに失敗した可能性があります,Read error,读取错误,讀取錯誤,,
tjs,TJSSeekError,シークエラーが発生しました。ファイルが破損している可能性や、デバイスからの読み込みに失敗した可能性があります,Seek error,查询错误,查詢錯誤,,
tjs,TJSByteCodeBroken,バイトコードファイル読み込みエラー。ファイルが壊れているかバイトコードとは異なるファイルです,Bytecode read error. File is broken or it's not bytecode file.,读取 Bytecode 错误。文件已损坏或者该文件不是 bytecode 文件。,讀取 Bytecode 錯誤。檔案已損毀或者該檔案不是 bytecode 檔案。,,
tjs,TJSObjectHashMapLogVersionMismatch,Object Hash Map ログのバージョンが一致しません,Object Hash Map log version mismatch,对象的哈希图与日志版本不一致,物件的雜湊表與日誌版本不一致,,
tjs,TJSCurruptedObjectHashMapLog,不正な Object Hash Map ログ,Currupted Object Hash Map log,对象哈希图已损坏,物件雜湊表已損毀,,
tjs,TJSUnknownFailure,未知のエラー %08X,Unknown failure : %08X,未知错误：%08X,未知錯誤：%08X,,
tjs,TJSUnknownPackUnpackTemplateCharcter,不明な pack/unpack TEMPLATE 文字です,Unknown pack/unpack TEMPLATE charcter,未知打包/解包模板字符,未知打包/解包範本字元,,
tjs,TJSUnknownBitStringCharacter,不明な bit string 文字です,Unknown bit string charcter,未知 bit string 字符,未知 bit string 字元,,
tjs,TJSUnknownHexStringCharacter,不明な16進数文字です,Unknown Hex string charcter,未知 16 进制字符,未知 16 進位字元,,
tjs,TJSNotSupportedUuencode,uuencode はサポートしていません,Not supported uuencode,不支持 uuencode,不支援 uuencode,,
tjs,TJSNotSupportedBER,BER圧縮はサポートしていません,Not supported BER,不支持 BER 压缩,不支援 BER 壓縮,,
tjs,TJSNotSupportedUnpackLP,'p' unpack はサポートしていません,Not supported unpack 'p',不支持解包 'p',不支援解包 'p',,
tjs,TJSNotSupportedUnpackP,'P' unpack はサポートしていません,Not supported unpack 'P',不支持解包 'p',不支援解包 'p',,
tvp,TVPVersionInformation,吉里吉里[きりきり] Z 実行コア/%1 (Compiled on %DATE% %TIME%) TJS2/%2 Copyright (C) 1997-2013 W.Dee and contributors All rights reserved.,Kirikiri Z Executable core /%1 (Compiled on %DATE% %TIME%) TJS2/%2 Copyright (C) 1997-2013 W.Dee and contributors All rights reserved.,吉里吉里Z 核心可执行文件 /%1 （编译日期 %DATE% %TIME%）TJS2 %2 Copyright (C) 1997-2013 W.Dee 及其贡献者 All rights reserved.,吉里吉里Z 核心可執行檔 /%1 （編譯日期 %DATE% %TIME%）TJS2 %2 Copyright (C) 1997-2013 W.Dee 及其貢獻者 All rights reserved.,,
tvp,TVPVersionInformation2,バージョン情報の詳細は -about を付けて起動すると閲覧できます,The details of version information can be perused if -about is attached and started. ,详细版本信息可以通过添加 -about 参数来启动查看。,詳細版本資訊可以透過添加 -about 參數來啟動查看。,,
tvp,TVPDownloadPageURL,http://krkrz.github.io/,http://krkrz.github.io/,http://krkrz.github.io/,http://krkrz.github.io/,,
tvp,TVPInternalError,内部エラーが発生しました: at %1 line %2,Internal Error: at %1 line %2,在 %1 行 %2 处发生了内部错误。,在 %1 行 %2 處發生了內部錯誤。,,
tvp,TVPInvalidParam,不正なパラメータです,Invalid Parameter,参数不合法,參數不合法,,
tvp,TVPWarnDebugOptionEnabled,"-debug オプションが指定されているため,現在 吉里吉里はデバッグモードで動作しています。デバッグモードでは十分な実行速度が出ない場合があるので注意してください",Debug option enabled,已启动调试设置。,已啟動偵錯設定。,,
tvp,TVPCommandLineParamIgnoredAndDefaultUsed,コマンドラインパラメータ %1 に指定された値 %2 は無効のためデフォルトの設定を用います,Command line parameter %1 = %2 is invalid. It's used default.,命令行参数 %1 = %2 是不合法的。已使用默认值。,命令列參數 %1 = %2 是不合法的。已使用預設值。,,
tvp,TVPInvalidCommandLineParam,コマンドラインパラメータ %1 に指定された値 %2 は無効です,Command line parameter %1 = %2 is invalid.,命令行参数 %1 = %2 是不合法的。,命令列參數 %1 = %2 是不合法的。,,
tvp,TVPNotImplemented,未実装の機能を呼び出そうとしました,Not implemented,未实现。,未實作。,,
tvp,TVPCannotOpenStorage,ストレージ %1 を開くことができません,Cannot open storage %1,不能打开文件 %1,不能開啟檔案 %1,,
tvp,TVPCannotFindStorage,ストレージ %1 が見つかりません,Cannot find storage %1,不能找到文件 %1,找不到檔案 %1,,
tvp,TVPCannotOpenStorageForWrite,ストレージ %1 を書き込み用に開くことができません。ファイルが書き込み禁止になっていないか、あるいはファイルに書き込み権限があるかどうか、あるいはそもそもそれが書き込み可能なメディアやファイルなのかを確認してください,Cannot open storage %1 for writing,不能写入文件 %1,不能寫入檔案 %1,,
tvp,TVPStorageInArchiveNotFound,ストレージ %1 がアーカイブ %2 の中に見つかりません,Cannot find storage %1 in archive %2,不能在归档 %2 中找到文件 %1,不能在封存檔 %2 中找到檔案 %1,,
tvp,TVPInvalidPathName,パス名 %1 は無効な形式です。形式が正しいかどうかを確認してください,Invalid path name %1,非法路径名 %1,非法路徑名 %1,,
tvp,TVPUnsupportedMediaName,"""%1"" は対応していないメディアタイプです","Not supported media type ""%1""","不支持的媒体类型文件 ""%1""","不支援的媒體類型檔案 ""%1""",,
tvp,TVPCannotUnbindXP3EXE,%1 は実行可能ファイルに見えますが、これに結合されたアーカイブを発見できませんでした,Cannot unbind XP3 exe %1,不能解绑 XP3 exe %1,不能解除綁定 XP3 exe %1,,
tvp,TVPCannotFindXP3Mark,%1 は XP3 アーカイブではないか、対応できない形式です。アーカイブファイルを指定すべき場面で通常のファイルを指定した場合、あるいは対応できないアーカイブファイルを指定した場合などにこのエラーが発生しますので、確認してください,%1 is not XP3 archive or unsupported,%1 不是 XP3 归档文件或者是未支持的文件,%1 不是 XP3 封存檔或者是不支援的檔案,,
tvp,TVPMissingPathDelimiterAtLast,パス名の最後には '>' または '/' を指定してください (吉里吉里２ 2.19 beta 14 よりアーカイブの区切り記号が '#' から '>' に変わりました),Use path delimiter '>' or '/',请使用路径分隔符 '>' 或者 '/',請使用路徑分隔符號 '>' 或者 '/',,
tvp,TVPFilenameContainsSharpWarn,"(注意) '#' がファイル名 ""%1"" に含まれています。アーカイブの区切り文字は吉里吉里２ 2.19 beta 14 より'#' から '>' に変わりました。もしアーカイブの区切り文字のつもりで '#' を使用した場合は、お手数ですが '>' に変えてください","(Attention) Filename ""%1"" contains '#'","（Attention）文件名 ""%1"" 含有 '#'","（Attention）檔案名稱 ""%1"" 含有 '#'",,
tvp,TVPCannotGetLocalName,ストレージ名 %1 をローカルファイル名に変換できません。アーカイブファイル内のファイルや、ローカルファイルでないファイルはローカルファイル名に変換できません。,Cannot get local name from %1,不能从 %1 中获取到本地名称,不能從 %1 中取得本地名稱,,
tvp,TVPReadError,読み込みエラーです。ファイルが破損している可能性や、デバイスからの読み込みに失敗した可能性があります,Read error,读取发生了错误,讀取時發生了錯誤,,
tvp,TVPWriteError,書き込みエラーです,Write error,写入发生了错误,寫入時發生了錯誤,,
tvp,TVPSeekError,シークに失敗しました。ファイルが破損している可能性や、デバイスからの読み込みに失敗した可能性があります,Seek error,查找发生了错误,搜尋時發生了錯誤,,
tvp,TVPTruncateError,ファイルの長さを切り詰めるのに失敗しました,Truncate error,截取过程中发生了错误,截斷過程中發生了錯誤,,
tvp,TVPInsufficientMemory,メモリ確保に失敗しました。,Cannot allocate memory,不能分配内存,不能配置記憶體,,
tvp,TVPUncompressionFailed,ファイルの展開に失敗しました。未対応の圧縮形式が指定されたか、あるいはファイルが破損している可能性があります,Unpompression failed,解压缩失败,解壓縮失敗,,
tvp,TVPCompressionFailed,ファイルの圧縮に失敗しました,Compression failed,压缩失败,壓縮失敗,,
tvp,TVPCannotWriteToArchive,アーカイブにデータを書き込むことはできません,Cannot write to archive,不能写入到归档中,不能寫入到封存檔中,,
tvp,TVPUnsupportedCipherMode,%1 は未対応の暗号化形式か、データが破損しています,%1 is unsupported cipger mode,不支持密码模式 %1,不支援密碼模式 %1,,
tvp,TVPUnsupportedEncoding,%1 は未対応のエンコード方式です。,%1 is unsupported encoding,不支持的编码格式 %1,不支援的編碼格式 %1,,
tvp,TVPUnsupportedModeString,認識できないモード文字列の指定です(%1),%1 is unsupported mode string,不能识别 %1 文字列。,不能識別 %1 字串。,,
tvp,TVPUnknownGraphicFormat,%1 は未知の画像形式です,Unknown graphic format %1,%1 是未知的图片格式,%1 是未知的圖片格式,,
tvp,TVPCannotSuggestGraphicExtension,%1 について適切な拡張子を持ったファイルを見つけられませんでした,Cannot suggest graphics extension for %1,未找到对应扩展名为 %1 的文件,未找到對應副檔名為 %1 的檔案,,
tvp,TVPMaskSizeMismatch,マスク画像のサイズがメイン画像のサイズと違います,Mask size mismath,mask 图片的大小和主要图片的大小不一致,mask 圖片的大小與主要圖片的大小不一致,,
tvp,TVPProvinceSizeMismatch,領域画像 %1 はメイン画像とサイズが違います,Province image %1 size mismatch,区域图片 %1 与主要图片的大小不一致,區域圖片 %1 與主要圖片的大小不一致,,
tvp,TVPImageLoadError,画像読み込み中にエラーが発生しました/%1,Image Load Error /%1,载入图片中发生了错误 /%1,載入圖片中發生了錯誤 /%1,,
tvp,TVPJPEGLoadError,JPEG 読み込み中にエラーが発生しました/%1,JPEG Read Error /%1,载入 JPEG 图片发生了错误 /%1,載入 JPEG 圖片發生了錯誤 /%1,,
tvp,TVPPNGLoadError,PNG 読み込み中にエラーが発生しました/%1,PNG Read Error /%1,载入 PNG 图片过程中发生了错误 /%1,載入 PNG 圖片過程中發生了錯誤 /%1,,
tvp,TVPERILoadError,ERI 読み込み中にエラーが発生しました/%1,ERI Read Error /%1,载入 ERI 图片过程中发生了错误 /%1,載入 ERI 圖片過程中發生了錯誤 /%1,,
tvp,TVPTLGLoadError,TLG 読み込み中にエラーが発生しました/%1,TLG Read Error /%1,载入 TLG 图片过程中发生了错误 /%1,載入 TLG 圖片過程中發生了錯誤 /%1,,
tvp,TVPInvalidImageSaveType,無効な保存画像形式です(%1),Invalid image save type (%1),图片保存格式无效（%1）,圖片儲存格式無效（%1）,,
tvp,TVPInvalidOperationFor8BPP,8bpp 画像に対しては行えない操作を行おうとしました,Invalid operation for 8bpp,发生了对 8bpp 图片格式无效的操作。,發生了對 8bpp 圖片格式無效的操作。,,
tvp,TVPInvalidOperationFor32BPP,32bpp 画像に対しては行えない操作を行おうとしました,Invalid operation for 32bpp,发生了对 32bpp 图片格式无效的操作。,發生了對 32bpp 圖片格式無效的操作。,,
tvp,TVPSpecifyWindow,Window クラスのオブジェクトを指定してください,Specify Window class object,请声明为 Window 类的对象。,請宣告為 Window 類別的物件。,,
tvp,TVPSpecifyLayer,Layer クラスのオブジェクトを指定してください,Specify Layer class object,请声明为 Layer 类的对象。,請宣告為 Layer 類別的物件。,,
tvp,TVPSpecifyLayerOrBitmap,Layer クラスか Bitmap クラスのオブジェクトを指定してください,Specify Layer or Bitmap class object,请声明为 Layer 类或者 Bitmap 类的对象。,請宣告為 Layer 類別或者 Bitmap 類別的物件。,,
tvp,TVPCannotAcceptModeAuto,この操作で mode に omAuto を指定することは出来ません,Cannot accept omAuto mode,不能指定为 omAuto 模式。,不能指定為 omAuto 模式。,,
tvp,TVPCannotCreateEmptyLayerImage,画像サイズの横幅あるいは縦幅を 0 以下の数に設定することはできません,Cannot create empty layer image,图层大小不能指定为 0 以下的数值。,圖層大小不能指定為 0 以下的數值。,,
tvp,TVPCannotSetPrimaryInvisible,プライマリレイヤは不可視にできません,Cannot set primary layer invisible,不能把主图层设为为隐藏。,不能將主圖層設為隱藏。,,
tvp,TVPCannotMovePrimary,プライマリレイヤは移動できません,Cannot move primary layer,不能移动主图层。,不能移動主圖層。,,
tvp,TVPCannotSetParentSelf,自分自身を親とすることはできません,Cannot set parent self,不能将父图层设置为自身。,不能將父圖層設定為自身。,,
tvp,TVPCannotMoveNextToSelfOrNotSiblings,自分自身の前後や親の異なるレイヤの前後に移動することはできません,Cannot move next to self or not siblings,Cannot move next to self or not siblings,Cannot move next to self or not siblings,,
tvp,TVPCannotMovePrimaryOrSiblingless,プライマリレイヤや兄弟の無いレイヤは前後に移動することはできません,Cannot move primary or siblingless,Cannot move primary or siblingless,Cannot move primary or siblingless,,
tvp,TVPCannotMoveToUnderOtherPrimaryLayer,別のプライマリレイヤ下にレイヤを移動することはできません,Cannot move to under Other primary layer,Cannot move to under Other primary layer,Cannot move to under Other primary layer,,
tvp,TVPInvalidImagePosition,レイヤ領域に画像の無い領域が発生しました,Invalid Image position,图片位置设置有误。,圖片位置設定有誤。,,
tvp,TVPCannotSetModeToDisabledOrModal,すでにモーダルなレイヤの親レイヤ、あるいは不可視/無効なレイヤをモーダルにすることはできません,Cannot set Mode to disabled or modal,已经设置为 Modal 层或者不能设置隐藏层/无效层为弹出层。,已經設定為 Modal 層或者不能將隱藏層/無效層設定為彈出層。,,
tvp,TVPNotDrawableLayerType,この type のレイヤでは描画や画像読み込みや画像サイズ/位置の変更/取得はできません,Not drawable layer type,非可描绘层类型。,非可繪製層類型。,,
tvp,TVPSourceLayerHasNoImage,転送元レイヤは画像を持っていません,Source layer has no image,来源 layer 未包含图片。,來源 layer 未包含圖片。,,
tvp,TVPUnsupportedLayerType,%1 はこの type のレイヤでは使用できません,Unsupported layer type %1,未被支持的 layer 类型 %1,不支援的 layer 類型 %1,,
tvp,TVPNotDrawableFaceType,%1 ではこの face に描画できません,Not drawble face type %1,不可描绘的 face 类型,不可繪製的 face 類型,,
tvp,TVPCannotConvertLayerTypeUsingGivenDirection,指定されたレイヤタイプ変換はできません,Cannot convert layer type using given direction,不能转换 layer 类型到指定的 direction,不能轉換 layer 類型到指定的 direction,,
tvp,TVPNegativeOpacityNotSupportedOnThisFace,負の不透明度はこの face では指定できません,Negative opacity not supported on this face,当前字型不支持负透明度。,目前字型不支援負透明度。,,
tvp,TVPSrcRectOutOfBitmap,転送元がビットマップ外の領域を含んでいます。正しい範囲に収まるように転送元を指定してください,Source rectangle out of bitmap,转换源包含 bitmap 以外的领域。请指定为正确的转换范围。,轉換來源包含 bitmap 以外的區域。請指定為正確的轉換範圍。,,
tvp,TVPBoxBlurAreaMustContainCenterPixel,"矩形ブラーの範囲は必ず(0,0)をその中に含む必要があります。leftとrightが両方とも正の数値、あるいは両方とも負の数値という指定はできません(topとbottomに対しても同様)",Box blur area must contain center pixel,"模糊（blur）矩形的范围一定是包含（0,0）的。不能指定 left 和 right 两个都是正直或者都是负值。（top 和 bottom 一样。）","模糊（blur）矩形的範圍一定要包含（0,0）。不能將 left 和 right 兩個都指定為正值或者都是負值。（top 和 bottom 相同。）",,
tvp,TVPBoxBlurAreaMustBeSmallerThan16Million,矩形ブラーの範囲が大きすぎます。矩形ブラーの範囲は1677万以下である必要があります,Box blur area must be smaller than 16 million,指定的模糊（blur）矩形的范围太大。模糊矩形的像素值应小于 1677 万。,指定的模糊（blur）矩形的範圍太大。模糊矩形的像素值應小於 1677 萬。,,
tvp,TVPCannotChangeFocusInProcessingFocus,フォーカス変更処理中はフォーカスを新たに変更することはできません,Cannot change focus in processing focus,正在处理 focus 的过程中不能进行新的 focus 指定。,正在處理 focus 的過程中不能進行新的 focus 指定。,,
tvp,TVPWindowHasNoLayer,ウィンドウにレイヤがありません,Window has no layer,Window 内未找到 Layer。,Window 內未找到 Layer。,,
tvp,TVPWindowHasAlreadyPrimaryLayer,ウィンドウにはすでにプライマリレイヤがあります,Window has already primary layer,Window 已经设置过 PrimaryLayer 了。,Window 已經設定過 PrimaryLayer 了。,,
tvp,TVPSpecifiedEventNeedsParameter,イベント %1 にはパラメータが必要です,Specified event %1 needs parameter,事件（Event）%1 需要指定参数（Parameter）。,事件（Event）%1 需要指定參數（Parameter）。,,
tvp,TVPSpecifiedEventNeedsParameter2,イベント %1 にはパラメータ %2 が必要です,Specified event %1 needs parameter %2,事件（Event）%1 需要指定第二个参数（Parameter）%2,事件（Event）%1 需要指定第二個參數（Parameter）%2,,
tvp,TVPSpecifiedEventNameIsUnknown,イベント名 %1 は未知のイベント名です,Specified event name %1 is unknown,未知事件(Event) %1,未知事件(Event) %1,,
tvp,TVPOutOfRectangle,矩形外を指定されました,Out of Rectangle,超过允许矩形指定的范围了,超過允許矩形指定的範圍了,,
tvp,TVPInvalidMethodInUpdating,画面更新中はこの機能を実行できません,Invalid method in updating,在画面更新时不能执行该方法,在畫面更新時不能執行該方法,,
tvp,TVPCannotCreateInstance,このクラスはインスタンスを作成できません,Cannot create instance,实例化当前类失败,實例化目前類別失敗,,
tvp,TVPUnknownWaveFormat,%1 は対応できない Wave 形式です,Unknown wave format %1,未支持的 Wave 文件格式 %1,不支援的 Wave 檔案格式 %1,,
tvp,TVPCurrentTransitionMustBeStopping,現在のトランジションを停止させてから新しいトランジションを開始してください。同じレイヤに対して複数のトランジションを同時に実行しようとするとこのエラーが発生します,Current transition must be stopping,在使用新的 Transition 之前需要先停止之前的。在同一 Layer 上执行复数的 Transition 时发生了错误。,在使用新的 Transition 之前需要先停止之前的。在同一 Layer 上執行複數個 Transition 時發生了錯誤。,,
tvp,TVPTransHandlerError,トランジションハンドラでエラーが発生しました : %1,Transition handler error %1,Transition Handler 发生了错误：%1,Transition Handler 發生了錯誤：%1,,
tvp,TVPTransAlreadyRegistered,トランジション %1 は既に登録されています,Transition %1 already registerd,Transition %1 已被注册过,Transition %1 已被註冊過,,
tvp,TVPCannotFindTransHander,トランジションハンドラ %1 が見つかりません,Cannot find transition handler %1,未找到 %1 transition handler.,未找到 %1 transition handler.,,
tvp,TVPSpecifyTransitionSource,トランジション元を指定してください,Specify transition source,请声明 transition 发生的源,請宣告 transition 發生的來源,,
tvp,TVPLayerCannotHaveImage,このレイヤは画像を持つことはできません,This layer cannot have image,Layer 不能持有图片,Layer 不能持有圖片,,
